config_id,instance,seed,budget,cost,time,status,starttime,endtime,config:batch_size,config:budget_type,config:cv_count,config:dataset,config:datasetpath,config:device,config:dropout_rate,config:global_avg_pooling,config:kernel_size,config:learning_rate_init,config:n_channels_conv_0,config:n_channels_fc_0,config:n_conv_layers,config:n_fc_layers,config:use_BN,config:n_channels_conv_1,config:n_channels_conv_2,scenario_seed,config:n_channels_fc_1,config:n_channels_fc_2
13,,872516536,20.0,0.4274607749768847,8034.494776964188,StatusType.SUCCESS,1686137936.1641414,1686145970.6707523,72,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.00015963168871,381,51,2,2,True,172.0,,12347,21.0,
31,,1506059195,20.0,0.427321933440561,4813.249976396561,StatusType.SUCCESS,1686147312.839042,1686152126.179331,48,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0008308649575517,95,106,2,1,True,478.0,,12349,,
29,,1842529055,20.0,0.4269054650424603,4066.217205762863,StatusType.SUCCESS,1686134356.804343,1686138423.0253012,101,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0008299819502123,179,49,2,1,True,169.0,,12346,,
36,,1842529055,20.0,0.4260724319834751,11355.881891965866,StatusType.SUCCESS,1686144371.5823896,1686155727.465898,126,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,3.199753460714821e-05,440,116,2,1,True,374.0,,12346,,
20,,1592017343,20.0,0.4245453062019265,11020.047649145126,StatusType.SUCCESS,1686132041.5479076,1686143061.605788,52,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,1.9294662252805687e-05,443,106,2,2,True,289.0,,12348,37.0,
39,,1842529055,20.0,0.4212133847027045,6616.063417434692,StatusType.SUCCESS,1686139753.78522,1686146369.9709947,116,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0007001831984567,159,116,2,1,True,505.0,,12346,,
10,,1842529055,20.0,0.42010274600415,5261.047506570816,StatusType.SUCCESS,1686126115.0504467,1686131376.0996938,98,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,5.776338925121628e-05,251,69,2,2,True,170.0,,12346,29.0,
1,,1845187042,20.0,0.4178814072005206,15485.085584163666,StatusType.SUCCESS,1686143104.2373283,1686158589.3249433,120,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0005048647944386,495,104,3,1,True,418.0,248.0,12345,,
39,,1845187042,20.0,0.4159378163081051,3077.8642752170563,StatusType.SUCCESS,1686146144.5552297,1686149222.421577,100,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0003946510828024,52,106,3,2,True,259.0,107.0,12345,57.0,
26,,1506059195,20.0,0.4148271446125706,8788.415876626968,StatusType.SUCCESS,1686144553.2374666,1686153341.6554778,90,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.00015753350078,398,118,2,2,True,193.0,,12349,25.0,
25,,872516536,20.0,0.4134388286447121,14306.04556465149,StatusType.SUCCESS,1686143554.780541,1686157860.8280032,66,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0002321012139088,442,38,3,3,True,502.0,76.0,12347,50.0,45.0
1,,1592017343,20.0,0.4087185842095854,2936.378908395767,StatusType.SUCCESS,1686135950.257963,1686138886.76133,57,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,True,3,0.0001820736197758,55,111,3,2,True,231.0,135.0,12348,45.0,
18,,1845187042,20.0,0.408718560050796,4533.036017894745,StatusType.SUCCESS,1686128666.994275,1686133200.032465,125,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,0.0009579279661545,229,120,3,2,True,80.0,139.0,12345,22.0,
12,,1845187042,20.0,0.4062196152848732,6810.833943605423,StatusType.SUCCESS,1686137900.189647,1686144711.025964,85,epochs,3,deepweedsx_balanced,/work/dlclarge1/biedenka-amlproject23/data,cpu,0.2,False,3,8.67676597346096e-05,250,114,2,3,True,249.0,,12345,34.0,43.0
